,Project_ID_Number,Project_ID,Master Stats Category Group,Master Stats Category,Program Name,Project Title,Nom du projet,Project Participant Type,Project Type,Project Start Date,Project End Date,Project Instruction Days,Ship,"Pre, Ship, or Post",Country,City,Project Venue,Project Comments,Finance: Location Code,Finance: Program Code,Finance: Purpose Code,powerappID,duplicate
22,99,Clubfoot Mentoring | Doctors | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Clubfoot Mentoring - Doctors,Formation en Pieds bots,Doctors,Mentoring,9/1/2019,3/29/2020,105,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,63,CLUBFOOT,NA,Clubfoot Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
23,100,Clubfoot Mentoring | Healthcare Professionals | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Clubfoot Mentoring - Healthcare Professionals,Formation en Pieds bots,Healthcare Professionals,Mentoring,9/1/2019,3/29/2020,105,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,63,CLUBFOOT,NA,Clubfoot Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
24,275,Leadership Development Training | Participants | 01Dec22-30Dec22 | Off-ship | Liberia | Harper | J. J. Dossen Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training,Formation au développement du leadership,Participants,Course,12/1/2022,12/30/2022,NA,Off-ship,NA,Liberia,Harper,J. J. Dossen Hospital,Leadership Development Training Oct Nov Dec 2022 Registers.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Dec-2022 - 30-Dec-2022,1
25,350,Leadership Development Training | Participants | 01Dec22-30Dec22 | Off-ship | Liberia | Harper | J. J. Dossen Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training-1,Formation au développement du leadership,Participants,Course,12/1/2022,12/30/2022,NA,Off-ship,NA,Liberia,Harper,J. J. Dossen Hospital,LiberiaMentoring - December -Dorine and Joshua (1).xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Dec-2022 - 30-Dec-2022,1
26,351,Leadership Development Training | Participants | 01Dec22-30Dec22 | Off-ship | Liberia | Tappita | JFD Referral Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - JFD Referral Hospital,Formation au développement du leadership,Participants,Course,12/1/2022,12/30/2022,NA,Off-ship,NA,Liberia,Tappita,JFD Referral Hospital,LiberiaMentoring - December -Dorine and Joshua (1).xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Dec-2022 - 30-Dec-2022,1
27,260,Leadership Development Training | Participants | 01Feb22-28Feb22 | Off-ship | Liberia | Harper | Methodist Church Hall,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Methodist Church Hall,Formation au développement du leadership,Participants,Course,2/1/2022,2/28/2022,NA,Off-ship,NA,Liberia,Harper,Methodist Church Hall,220520 - Leadership development - statistics.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Feb-2022 - 28-Feb-2022,1
28,261,Leadership Development Training | Participants | 01Feb22-28Feb22 | Off-ship | Liberia | Harper | Church Hall,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Church Hall,Formation au développement du leadership,Participants,Course,2/1/2022,2/28/2022,NA,Off-ship,NA,Liberia,Harper,Church Hall,220520 - Leadership development - statistics.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Feb-2022 - 28-Feb-2022,1
29,262,Leadership Development Training | Participants | 01Feb22-28Feb22 | Off-ship | Liberia | Tapeta | Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Hospital,Formation au développement du leadership,Participants,Course,2/1/2022,2/28/2022,NA,Off-ship,NA,Liberia,Tapeta,Hospital,220520 - Leadership development - statistics.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Feb-2022 - 28-Feb-2022,1
30,263,Leadership Development Training | Participants | 01Feb22-28Feb22 | Off-ship | Liberia | Monrovia | Radio station,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Radio Station,Formation au développement du leadership,Participants,Course,2/1/2022,2/28/2022,NA,Off-ship,NA,Liberia,Monrovia,Radio station,220520 - Leadership development - statistics.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Feb-2022 - 28-Feb-2022,1
31,273,Leadership Development Training | Participants | 01Nov22-30Nov22 | Off-ship | Liberia | Tappita | Jackson F. Doe Referral Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Jackson F. Doe Referral Hospital,Formation au développement du leadership,Participants,Course,11/1/2022,11/30/2022,NA,Off-ship,NA,Liberia,Tappita,Jackson F. Doe Referral Hospital,Leadership Development Training Oct Nov Dec 2022 Registers.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Nov-2022 - 30-Nov-2022,1
